class,#protos,support_sum,support_gini,used_samples,assigned_samples,coverage
0,8,291.0,0.34579037800687284,291,291,1.0
1,9,251.0,0.45418326693227096,251,251,1.0
2,9,341.0,0.28869338546757906,341,341,1.0
3,7,392.0,0.3330903790087463,392,392,1.0
4,8,357.0,0.28816526610644255,357,357,1.0
5,10,347.0,0.2596541786743517,347,347,1.0
6,8,363.0,0.30406336088154273,363,363,1.0
7,9,390.0,0.32934472934472936,390,390,1.0
8,8,364.0,0.32417582417582413,364,364,1.0
9,9,318.0,0.49196366177498263,318,318,1.0
10,9,383.0,0.40324920220481586,383,383,1.0
11,9,376.0,0.37470449172576836,376,376,1.0
12,8,382.0,0.2709424083769634,382,382,1.0
13,9,357.0,0.37286025521319643,357,357,1.0
14,8,387.0,0.2671188630490956,387,387,1.0
15,9,224.0,0.27083333333333337,224,224,1.0
16,9,371.0,0.3587900569032645,371,371,1.0
17,9,383.0,0.373658253553815,383,383,1.0
18,10,250.0,0.28800000000000003,250,250,1.0
19,9,359.0,0.42216032188177044,359,359,1.0
20,9,388.0,0.3436426116838488,388,388,1.0
21,7,195.0,0.25787545787545785,195,195,1.0
22,8,382.0,0.38219895287958117,382,382,1.0
23,8,381.0,0.3868110236220472,381,381,1.0
24,9,251.0,0.32403718459495356,251,251,1.0
25,9,383.0,0.2674789672178707,383,383,1.0
26,10,361.0,0.4091412742382272,361,361,1.0
27,7,377.0,0.3842364532019704,377,377,1.0
28,9,371.0,0.3492063492063493,371,371,1.0
29,8,366.0,0.3278688524590164,366,366,1.0
30,8,366.0,0.3271857923497268,366,366,1.0
31,9,364.0,0.18864468864468864,364,364,1.0
32,9,393.0,0.2974271981905571,393,393,1.0
33,9,381.0,0.3464566929133859,381,381,1.0
34,9,356.0,0.2272159800249688,356,356,1.0
35,9,366.0,0.3825136612021859,366,366,1.0
36,8,352.0,0.3444602272727273,352,352,1.0
37,10,365.0,0.3208219178082192,365,365,1.0
38,8,384.0,0.19661458333333337,384,384,1.0
39,9,382.0,0.37230948225712623,382,382,1.0
40,8,275.0,0.24772727272727268,275,275,1.0
41,9,235.0,0.25248226950354613,235,235,1.0
42,7,365.0,0.3232876712328766,365,365,1.0
43,9,348.0,0.2701149425287357,348,348,1.0
44,8,225.0,0.2861111111111111,225,225,1.0
45,8,380.0,0.2914473684210527,380,380,1.0
46,7,361.0,0.3387415908191531,361,361,1.0
