epoch,vanilla:entropy_mean,vanilla:entropy_std,vanilla:grad_router_mean,vanilla:grad_expert_mean,entropy:entropy_mean,entropy:entropy_std,entropy:grad_router_mean,entropy:grad_expert_mean
1,0.4764203429222107,0.3413443863391876,0.6681831698585224,1.0171764616417747,0.4594157040119171,0.34399324655532837,0.6091323668740117,1.0289683882976695
2,0.57801753282547,0.3042423725128174,0.6273607113730347,0.7532474013347469,0.6174312829971313,0.2994087338447571,0.6134188779270192,0.7266406823291128
3,0.5884519815444946,0.31142130494117737,0.494447352996299,0.6302516528523577,0.6460534334182739,0.296379029750824,0.48173653879868816,0.5959233221571101
4,0.5985163450241089,0.3069349527359009,0.42083939066195913,0.5522591274244478,0.6427565813064575,0.3017653524875641,0.4130888716329497,0.5213853042322458
5,0.6016998291015625,0.306516170501709,0.3645442209861243,0.504789925589717,0.6492471694946289,0.29827484488487244,0.3747941570295862,0.4803061622031768
6,0.5999565124511719,0.3037608563899994,0.332537931080929,0.47243276867443557,0.6463783979415894,0.30223381519317627,0.34509855003311224,0.45462826120504
7,0.5949622392654419,0.3019354045391083,0.32153622414558236,0.44870804669556,0.6471366882324219,0.30130094289779663,0.33402110485399195,0.43116501299787496
8,0.5878086090087891,0.30419793725013733,0.30696447135331956,0.43275456797635675,0.6515956521034241,0.300851970911026,0.3167969508161305,0.42017550111157004
9,0.5794712901115417,0.30746129155158997,0.2879425559953858,0.41839947253532017,0.6540488004684448,0.30328917503356934,0.2980725012662057,0.40673942544763875
10,0.5867327451705933,0.3048429489135742,0.2852932877492261,0.4064547784733456,0.6469360589981079,0.3034663200378418,0.2963245167916275,0.39608529505528106
11,0.5872937440872192,0.30398985743522644,0.28180108669902654,0.3983716407711442,0.6521392464637756,0.3005310297012329,0.2743856136774403,0.38870452272877193
12,0.5963940024375916,0.30068567395210266,0.2656727407605598,0.3918566753029806,0.6563513278961182,0.3049115538597107,0.2786895047952296,0.3856923162050616
13,0.5928205251693726,0.3017248213291168,0.2685037715724301,0.3868871201858965,0.6623609066009521,0.2985510230064392,0.2687509509712698,0.3777521862031635
14,0.5955120921134949,0.3010852336883545,0.2619337615407644,0.38610760732108207,0.6668378114700317,0.29463866353034973,0.2646487857876275,0.3763306315790166
15,0.5990170836448669,0.29917770624160767,0.26307213580214056,0.38001563306703795,0.67212975025177,0.2941148579120636,0.2655794761204938,0.37045904443401245
16,0.5900546312332153,0.30154237151145935,0.26424589186451625,0.3807777203520075,0.6710962653160095,0.2967149615287781,0.25279108817562707,0.3694827983241538
17,0.5924710631370544,0.2986295223236084,0.25663763594546496,0.3807442045659643,0.6706013679504395,0.29691657423973083,0.2532748690767682,0.36789481882674346
18,0.6010565161705017,0.2963291108608246,0.24973081412355821,0.3728994263970279,0.6600956320762634,0.2978292405605316,0.26154435414063315,0.3689187565623092
19,0.5966373085975647,0.29762735962867737,0.25913843854849794,0.37546528157332026,0.6682381629943848,0.29597580432891846,0.26025943565407383,0.36907828448606445
20,0.6056777834892273,0.2972661256790161,0.2606694013804702,0.3751578385228836,0.6638152599334717,0.29482802748680115,0.24788069793337258,0.3682665614449883
