epoch,train_loss,test_acc,P_ent,maxP
1,3.686744,26.2926,0.999998,0.027992
2,3.489811,35.5532,0.999998,0.027985
3,3.349859,44.5106,0.999998,0.027982
1,3.686754,26.3138,0.999998,0.027992
2,3.489772,35.6915,0.999998,0.027985
3,3.349621,44.3564,0.999998,0.027982
4,3.327073,48.6117,1.000000,0.027778
5,3.158717,53.4255,1.000000,0.027778
6,3.026026,56.8617,1.000000,0.027778
7,2.903063,60.0319,1.000000,0.027778
8,2.783415,63.0745,1.000000,0.027778
9,2.664142,66.2660,1.000000,0.027778
10,2.545450,67.0745,1.000000,0.027778
11,2.427213,68.7287,1.000000,0.027778
12,2.310798,70.7234,1.000000,0.027778
13,2.200451,71.8298,1.000000,0.027778
14,2.087833,72.3777,1.000000,0.027778
15,1.978322,72.6277,1.000000,0.027778
16,1.870804,73.3670,1.000000,0.027778
17,1.763865,73.4149,1.000000,0.027778
18,1.660541,74.9255,1.000000,0.027778
19,1.563710,75.2926,1.000000,0.027778
20,1.473127,75.6436,1.000000,0.027778
