class,count,mean_loss,topK_losses_desc
0,400,0.029575,0.052523;0.043620;0.042938
1,400,0.015350,0.028012;0.027692;0.026269
2,400,0.030481,0.050429;0.047160;0.046653
3,400,0.030630,0.049210;0.048721;0.046965
4,400,0.028796,0.050995;0.043495;0.043049
5,400,0.031072,0.055909;0.055599;0.055242
6,400,0.028067,0.054621;0.044263;0.044194
7,400,0.023472,0.039538;0.039124;0.039122
8,400,0.032852,0.051818;0.051384;0.050584
9,400,0.028329,0.049404;0.045898;0.044435
10,400,0.033422,0.086654;0.068917;0.067160
11,400,0.041558,0.082721;0.076332;0.072947
12,400,0.027230,0.056475;0.052193;0.051281
13,400,0.034440,0.079161;0.073219;0.067410
14,400,0.032378,0.049215;0.048723;0.047545
15,400,0.030005,0.055546;0.054640;0.052760
16,400,0.037180,0.077954;0.072808;0.066186
17,400,0.032952,0.081912;0.057070;0.054905
18,400,0.017608,0.047052;0.042894;0.038718
19,400,0.028302,0.061390;0.054828;0.050082
20,400,0.032037,0.052813;0.051665;0.050855
21,400,0.017365,0.061887;0.034697;0.034527
22,400,0.034066,0.055715;0.055561;0.053769
23,400,0.031022,0.061815;0.051768;0.050599
24,400,0.028952,0.058551;0.042492;0.042451
25,400,0.031058,0.068840;0.060001;0.056926
26,400,0.043100,0.077942;0.074234;0.073940
27,400,0.035226,0.072120;0.061696;0.059986
28,400,0.030030,0.067526;0.065672;0.061595
29,400,0.024690,0.044014;0.043998;0.041339
30,400,0.028548,0.059067;0.056692;0.053956
31,400,0.025165,0.042593;0.039214;0.037192
32,400,0.036209,0.063398;0.061955;0.060197
33,400,0.029624,0.058127;0.048740;0.048302
34,400,0.026548,0.054239;0.043086;0.043043
35,400,0.030822,0.050076;0.049985;0.048305
36,400,0.030514,0.070159;0.056150;0.053444
37,400,0.028711,0.055158;0.051587;0.047341
38,400,0.031001,0.054281;0.053229;0.052031
39,400,0.029820,0.037834;0.037739;0.037616
40,400,0.029882,0.052046;0.049855;0.049067
41,400,0.033765,0.063893;0.058635;0.055361
42,400,0.026071,0.055270;0.043554;0.043149
43,400,0.027588,0.041934;0.037516;0.036797
44,400,0.031882,0.060135;0.057205;0.056259
45,400,0.022227,0.036554;0.036507;0.035378
46,400,0.025675,0.042128;0.042083;0.041095
